
"""http://heasarc.gsfc.nasa.gov/db-perl/W3Browse/w3table.pl?tablehead=name%3Dneargalcat&Action=More+Options"""
Results from heasarc_neargalcat: Updated Nearby Galaxy Catalog
Coordinate system:  Equatorial
|name             |distance|abs_bmag|
|UGC03698         |    7.24|   -14.3|
|KK194            |   10.00|   -12.5|
|NGC2337          |    7.87|   -16.5|
|DDO190           |    2.74|   -14.1|
|MCG +08-25-028   |    7.74|   -13.6|
|UGC09660         |    7.40|   -15.1|
|And X            |    0.63|    -7.9|
|UGC07320         |    9.20|   -14.5|
|UGC07827         |    8.50|   -13.8|
|NGC4460          |    9.59|   -17.7|
|And XVIII        |    1.36|    -9.1|
|UGC03817         |    8.55|   -14.1|
|NGC3741          |    3.03|   -13.1|
|And XXVII        |    0.83|    -7.3|
|NGC4242          |    7.90|   -18.0|
|IC2233           |   12.20|   -18.3|
|DDO120           |    7.06|   -15.8|
|DDO168           |    4.33|   -15.3|
|NGC2537          |   12.20|   -18.4|
|CVnHI            |    6.50|        |
|NGC4288          |    8.05|   -16.4|
|DDO167           |    4.19|   -12.7|
|And XXIV         |    0.60|    -7.0|
|NGC4144          |    7.24|   -17.7|
|UGC08215         |    4.55|   -12.3|
|d1220+4649       |    7.80|   -10.1|
|And XXV          |    0.81|    -9.1|
|LV J1218+4655    |    6.54|   -12.3|
|KK136            |    7.80|   -12.0|
|LV J1217+4703    |    7.80|   -11.0|
|BTS157           |    8.83|   -12.4|
|KDG101           |    7.24|   -13.6|
|d1219+4705       |    7.80|   -11.0|
|NGC5194          |    8.40|   -21.4|
|NGC5195          |    7.66|   -19.2|
|NGC4258          |    7.83|   -21.2|
|LV J0737+4724    |   15.70|   -13.4|
|NGC4248          |    7.40|   -16.3|
|KK134            |    7.80|   -12.5|
|[KKH2011]S11     |    7.80|    -9.0|
|DDO169           |    4.41|   -13.8|
|KKH38            |   19.30|   -14.4|
|UGC07639         |    7.14|   -15.2|
|DDO169NW         |    4.20|   -10.2|
|And V            |    0.81|    -9.2|
|LV J1203+4739    |    7.49|   -12.3|
|BTS132           |    7.80|   -11.1|
|KK132            |    7.80|   -11.0|
|KUG 0937+480     |    7.88|   -12.6|
|UGC02773         |    5.40|   -16.1|
|NGC5229          |    8.00|   -15.6|
|And XXVI         |    0.76|    -6.5|
|NGC0185          |    0.61|   -14.7|
|UGCA281          |    5.68|   -13.7|
|NGC0147          |    0.76|   -14.8|
|LV J0812+4836    |   12.42|   -13.6|
|LV J1342+4840    |    7.44|   -13.1|
|NGC2541          |   12.40|   -18.7|
|UGC06541         |    3.89|   -13.6|
|UGC03501         |   15.50|   -14.8|
|LV J1328+4937    |    8.02|   -12.3|
|And XXX          |    0.68|        |
|UGCA361          |    8.00|   -12.9|
|NGC2552          |   12.40|   -18.1|
|LV J1000+5022    |    7.97|   -12.5|
|Cas dSph         |    0.79|   -11.7|
|NGC2500          |   12.40|   -18.5|
|Willman1         |    0.04|    -1.9|
|UGC04932         |   20.60|   -16.6|
|NGC4707          |    5.80|   -15.5|
|CGCG 262-028     |    7.10|   -14.8|
|KKH40            |    6.98|   -12.9|
|UGC07267         |   12.90|   -16.0|
|KKH5             |    4.27|   -12.3|
|UGC05047         |   19.68|   -15.6|
|UGC07950         |    8.90|   -15.2|
|NGC5238          |    4.51|   -14.8|
|UMa I            |    0.10|    -4.8|
|MCG +09-16-010   |    7.35|   -13.2|
|KKH6             |    3.73|   -12.4|
|UGC07298         |    4.21|   -12.3|
|MCG +09-20-131   |    4.59|   -13.1|
|KDG078           |    9.00|   -13.1|
|NGC4068          |    4.31|   -15.1|
|UGC04879         |    1.36|   -11.9|
|SBS 1224+533     |    5.35|   -12.6|
|DDO092           |    9.90|   -14.4|
|NGC5474          |    7.20|   -17.9|
|HolmIV           |    7.21|   -15.6|
|KDG192           |    7.45|   -12.8|
|UGC08882         |    8.32|   -13.9|
|MESSIER101       |    7.38|   -21.1|
|KKR25            |    1.86|    -9.4|
|NGC5477          |    7.70|   -15.3|
|NGC3738          |    4.90|   -16.7|
|LV J1354+5438    |    7.41|        |
|UGC08508         |    2.69|   -13.1|
|NGC3990          |   10.30|   -16.7|
|NGC3556          |    9.90|   -20.2|
|KKH73            |    9.00|   -12.5|
|KKH11            |    3.00|   -13.3|
|LV J1157+5638    |    7.03|   -12.2|
|NGC5585          |    5.70|   -17.8|
|Cepheus1         |    6.00|   -17.6|
|KKH87            |    7.20|   -13.2|
|KKR60            |    5.90|   -15.4|
|DDO194           |    8.02|   -15.1|
|KKR59            |    5.89|   -17.0|
|KKH12            |    3.00|   -13.0|
|Draco            |    0.08|    -8.7|
|DDO123           |   10.50|   -15.7|
|NGC5204          |    4.66|   -16.8|
|KKR56            |    5.89|   -14.4|
|MB3              |    3.00|   -13.7|
|Dw1              |    2.80|   -18.8|
|Dw2              |    3.00|   -14.6|
|IC0010           |    0.66|   -16.0|
|MB1              |    3.00|   -13.8|
|Maffei2          |    2.80|   -20.1|
|Maffei1          |    3.01|   -19.0|
|KDG229           |    8.00|   -13.1|
|NGC6946          |    5.89|   -20.8|
|KK251            |    5.89|   -13.6|
|KKR55            |    5.89|   -14.8|
|UGC11583         |    5.89|   -14.3|
|KK252            |    5.89|   -14.1|
|UGC06757         |    2.73|   -11.0|
|NGC4605          |    5.47|   -18.1|
|UGCA105          |    3.15|   -16.8|
|UMa II           |    0.03|    -3.1|
|KKH57            |    3.91|   -10.2|
|UGCA092          |    3.01|   -15.6|
|NGC6789          |    3.63|   -14.3|
|UGC05497         |    3.70|   -12.3|
|NGC1569          |    3.06|   -18.1|
|DDO087           |    7.45|   -14.3|
|NGC2403          |    3.18|   -19.2|
|BK6N             |    3.85|   -11.1|
|UGC07242         |    5.42|   -14.2|
|DDO053           |    3.56|   -13.4|
|KDG063           |    3.50|   -12.1|
|[CKT2009]d0958+66|    4.04|   -12.3|
|DDO044           |    3.19|   -12.1|
|CamB             |    3.34|   -11.9|
|UGCA086          |    2.96|   -17.9|
|[CKT2009]d1006+67|    3.87|    -8.6|
|UMin             |    0.06|    -7.1|
|UGC09992         |    7.30|   -14.1|
|F8D1             |    3.77|   -12.6|
|KK77             |    3.48|   -12.0|
|DDO078           |    3.72|   -11.5|
|DDO165           |    4.57|   -15.1|
|KDG064           |    3.70|   -12.6|
|KK35             |    3.16|   -14.3|
|NGC2976          |    3.56|   -17.1|
|IC0342           |    3.28|   -20.7|
|BK5N             |    3.78|   -10.6|
|UGC04998         |    8.24|   -14.9|
|IKN              |    3.75|   -11.6|
|IC2574           |    4.02|   -17.5|
|KDG061           |    3.60|   -12.9|
|[CKT2009]d0959+68|    3.60|   -10.1|
|ClumpIII         |    3.60|    -8.3|
|GARLAND          |    3.82|   -11.4|
|HIJASS J1021+6842|    3.70|        |
|ClumpI           |    3.60|    -8.3|
|NGC3077          |    3.82|   -17.6|
|[CKT2009]d1014+68|    4.57|    -8.3|
|FM1              |    3.40|   -10.5|
|BK3N             |    4.02|    -9.6|
|Cas1             |    3.30|   -16.7|
|[CKT2009]d1015+69|    4.07|    -7.8|
|HolmIX           |    3.61|   -13.6|
|MESSIER081       |    3.63|   -20.9|
|NGC2787          |    7.48|   -18.5|
|NGC2366          |    3.19|   -16.1|
|[CKT2009]d0944+69|    3.98|    -7.4|
|A0952+69         |    3.87|   -11.5|
|NGC4236          |    4.45|   -18.6|
|KDG073           |    3.70|   -10.8|
|MESSIER082       |    3.53|   -19.6|
|UGC04483         |    3.21|   -12.7|
|NGC6503          |    5.27|   -18.3|
|[CKT2009]d1041+70|    3.91|    -8.7|
|[CKT2009]d0934+70|    3.66|    -9.6|
|[CKT2009]d1028+70|    4.00|   -12.0|
|UGC11411         |    4.73|   -13.3|
|KDG235           |   10.60|   -13.5|
|UGC05423         |    8.71|   -15.6|
|[CKT2009]d0955+70|    3.93|    -9.1|
|[CKT2009]d0926+70|    3.93|   -10.0|
|[CKT2009]d1009+70|    9.00|   -12.4|
|DDO082           |    4.00|   -14.7|
|HolmII           |    3.39|   -16.7|
|KDG052           |    3.55|   -11.5|
|HS117            |    3.96|   -11.2|
|HolmI            |    3.84|   -14.5|
|[CKT2009]d0939+71|    3.63|    -8.4|
|[CKT2009]d0944+71|    3.39|   -11.1|
|NGC1560          |    3.45|   -16.7|
|KKH22            |    3.50|   -11.4|
|CamA             |    3.93|   -14.1|
|KKH34            |    4.61|   -12.3|
|UGC08245         |    1.99|   -11.9|
|UGC06456         |    4.35|   -14.1|
|KKH37            |    3.39|   -11.6|
