
"""http://heasarc.gsfc.nasa.gov/db-perl/W3Browse/w3table.pl?tablehead=name%3Dneargalcat&Action=More+Options"""
Results from heasarc_neargalcat: Updated Nearby Galaxy Catalog
Coordinate system:  Equatorial
|name             |distance|abs_bmag|
|Milky Way        |    0.01|   -19.1|
|IC4316           |    4.41|   -13.9|
|HIZSS021         |    3.00|   -14.3|
|ESO443-009       |    5.78|   -12.1|
|CGMW2-3473       |    7.40|   -15.2|
|ESO409-015       |    7.70|   -14.4|
|ESO444-084       |    4.61|   -13.6|
|NGC1592          |    9.10|   -15.5|
|Antlia           |    1.32|    -9.8|
|MCG -04-31-038   |    7.80|   -14.7|
|NGC3037          |    8.10|   -16.3|
|ESO499-038       |   15.30|   -15.5|
|ESO495-021       |    7.96|   -17.6|
|ESO496-010       |    7.80|   -15.1|
|ESO489-056       |    4.99|   -13.1|
|NGC3109          |    1.32|   -15.7|
|NGC1744          |   10.00|   -18.8|
|ESO490-017       |    4.23|   -14.5|
|ESO486-021       |   10.00|   -15.8|
|NGC0253          |    3.94|   -21.3|
|LV J0939-2507    |    6.15|   -13.7|
|NGC0024          |    9.90|   -18.3|
|ESO501-023       |    7.00|   -16.3|
|Sc22             |    4.21|   -10.5|
|HIZSS008         |    7.43|   -18.8|
|KK73             |    9.80|   -14.5|
|NGC2784 dw01     |    9.80|   -13.6|
|NGC2784          |    9.82|   -19.7|
|KK72             |    9.80|   -12.8|
|ESO497-004       |   19.00|   -16.1|
|ESO495-008       |   17.30|   -15.7|
|AM1320-230       |    4.60|   -11.1|
|KK71             |    9.80|   -13.0|
|HIPASS J0916-23b |   10.30|   -14.7|
|NGC0045          |    9.20|   -18.5|
|ESO483-013       |    7.40|   -15.5|
|DDO056           |    9.80|   -15.1|
|LV J0944-2254    |    6.05|   -12.4|
|ESO473-024       |    9.90|   -13.7|
|DDO062           |   18.60|   -17.1|
|NGC2835          |   10.30|   -19.7|
|DDO226           |    4.92|   -13.6|
|ESO558-011       |    8.40|   -17.0|
|HIZSS012         |    7.20|   -18.6|
|HIPASS J0801-21  |    6.34|   -12.8|
|NGC0059          |    5.30|   -15.7|
|PGC170257        |    6.50|   -14.2|
|NGC5068          |    5.45|   -18.6|
|DDO006           |    3.34|   -12.4|
|HIPASS J0705-20  |    7.23|        |
|NGC0247          |    3.65|   -18.5|
|ESO553-046       |    5.07|   -14.1|
|ESO565-003       |    7.52|   -14.1|
|ESO540-032       |    3.42|   -11.3|
|HIZSS014         |    7.35|   -16.7|
|KK176            |    6.90|   -12.9|
|UGCA153          |   21.90|   -16.8|
|ESO572-034       |    8.50|   -15.6|
